carrier_name,flights,delayed,delay_hours,cancelled,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,delay_rate,cancellation_rate,late_aircraft_share,delay_hours_per_1k_flights,cluster
Continental Air Lines Inc.,2447164.0,537252.0,431445.833333333,20395.0,6299458.199999999,1277032.3599999994,9517483.519999996,7457108.439999998,0.21954066012739645,0.008334136984689216,0.3037384780864644,176.30442149906298,0
Delta Air Lines Inc.,10063587.0,1712727.0,1269771.3999999994,112336.0,25478863.04,3963890.0799999987,21941241.039999995,24024091.23999999,0.17019050960656473,0.011162620246637705,0.3185877364816372,126.17483209515648,0
Delta Air Lines Network,6234005.0,894971.0,860752.3666666662,73386.0,21763250.759999998,2917907.839999999,11228690.359999998,14284343.879999995,0.14356276583031294,0.011771886612217989,0.28458160340446265,138.0737369743313,0
Empire Airlines Inc.,23122.0,3423.0,3432.45,1304.0,46980.0,4969.0,12130.0,141618.0,0.14804082691808668,0.05639650549260444,0.6884786846672533,148.44952858749244,2
Endeavor Air Inc.,1753519.0,242388.0,304639.6333333333,37868.0,5782073.8,1275705.5199999996,4193861.6799999992,6639301.84,0.13822946885662488,0.02159543181453979,0.37109848817783164,173.73044337320172,0
Envoy Air,2455009.0,468366.0,429804.2833333331,79300.0,6787641.239999999,2145856.679999999,6373663.319999998,10153967.999999996,0.19077974866894581,0.032301307245716816,0.39880273589939164,175.07238602112378,2
ExpressJet Airlines Inc.,7148719.0,1536141.0,1453004.2166666659,192076.0,26230912.2,3055195.039999999,20869303.75999999,33972529.79999998,0.21488339379404897,0.0268685900229118,0.40381981868264144,203.2537880796078,2
ExpressJet Airlines LLC,149213.0,29713.0,40846.483333333315,8060.0,761608.6799999999,95705.35999999999,749344.6799999997,697855.0,0.19913144297078672,0.05401674116866493,0.30282093525570336,273.7461436559369,1
Frontier Airlines,1041066.0,272946.0,332259.7166666666,24683.0,5906831.12,422770.72,4011502.28,9450145.519999998,0.2621793430964031,0.023709351760599233,0.47749109792947864,319.15336459616066,1
Frontier Airlines Inc.,1120723.0,241699.0,216525.8,6901.0,3131493.0,274236.04,4465017.199999999,5020713.199999999,0.21566346010566392,0.006157632171375086,0.38946041938599935,193.20188842381214,2
GoJet Airlines LLC d/b/a United Express,426823.0,80529.0,111546.51666666666,13275.0,1879214.0,345929.1599999999,1433710.2,3005253.88,0.1886707136213372,0.0311018853248302,0.4509612123228677,261.3413913183373,2
Hawaiian Airlines Inc.,935934.0,72785.0,54081.65,2468.0,2156313.0,65994.35999999999,55760.0,955682.0,0.07776723572388651,0.002636938074693301,0.2955337268315687,57.7836150839696,0
Hawaiian Airlines Network,501382.0,74986.0,56303.08333333332,5439.0,1937341.44,110158.71999999997,103463.0,1161801.7599999998,0.1495586199743908,0.01084801608354508,0.3507045588975869,112.29578112762987,0
Horizon Air,690605.0,98745.0,79172.98333333334,13413.0,1532568.0,192264.75999999995,1079703.2,1886876.0,0.1429833262139718,0.01942210091151961,0.4021978918261529,114.64293385268472,0
Independence Air,196436.0,38823.0,31310.86666666665,4195.0,304026.0,34186.0,514737.31999999983,920770.3999999994,0.1976368893685475,0.021355556008063697,0.5191183193249945,159.39474773802485,2
JetBlue Airways,4720734.0,1151344.0,1207012.3499999994,88042.0,23806111.24,2096791.5199999998,17720769.479999997,27352340.959999986,0.24389088645960563,0.018650065858402527,0.38537443464068777,255.68319460490662,1
Mesa Airlines Inc.,2743539.0,534018.0,609863.7999999998,79863.0,14507288.639999999,2033214.2799999993,5795051.359999999,13521670.719999997,0.19464567480177974,0.029109482314630848,0.3770975227447188,222.29091695069752,2
Northwest Airlines Inc.,2767549.0,610029.0,437904.633333333,33857.0,9999770.159999998,1884423.5199999989,8418708.799999999,5537514.999999997,0.22042211357414088,0.012233568402944265,0.21429665384802438,158.2283216424833,0
PSA Airlines Inc.,1640351.0,294439.0,325100.5999999998,49358.0,5677487.279999999,1300381.8399999996,3241319.36,8940070.799999997,0.17949755875419346,0.03008990149059561,0.46661881178947123,198.18965575050692,2
Piedmont Airlines,702550.0,107941.0,126512.91666666667,21316.0,1756396.0,728742.9999999998,1487809.3199999998,3523062.9599999995,0.15364173368443526,0.030340901003487297,0.46999168336363545,180.07674424121655,2
Pinnacle Airlines Inc.,1222147.0,220024.0,204302.5166666666,33122.0,4288813.56,607360.7599999998,3206316.6799999997,4031942.679999999,0.18003071643591156,0.027101486155102456,0.3322728350022182,167.16689290786346,0
