month_ts,total_flights,total_delayed,total_delay_hours,total_cancelled,delay_rate
2017-11-01,454162.0,51298.0,48364.616666666654,1418.0,0.11295088536689551
2017-12-01,464205.0,85302.0,82572.16666666663,5324.0,0.18375933046821985
2018-01-01,621398.0,107795.0,113356.56666666662,18977.0,0.17347175240345158
2018-02-01,566931.0,107039.0,109075.9333333333,10812.0,0.1888042812970185
2018-03-01,665822.0,107716.0,101610.41666666663,19401.0,0.16177897396000732
2018-04-01,649023.0,112892.0,113026.0833333333,7170.0,0.17394144737551673
2018-05-01,671734.0,129083.0,131049.2666666666,8495.0,0.19216386248127978
2018-06-01,682014.0,146600.0,151512.0666666666,12351.0,0.2149515992340333
2018-07-01,701883.0,153731.0,158474.9666666666,12781.0,0.21902653291218052
2018-08-01,693782.0,156633.0,165703.1499999999,14229.0,0.22576688354555177
2018-09-01,637630.0,104357.0,107394.9833333333,9503.0,0.16366388030676096
2018-10-01,670117.0,111921.0,107206.44999999997,5202.0,0.16701710298350886
2018-11-01,639038.0,123353.0,121251.33333333328,7769.0,0.19302920953057565
2018-12-01,649325.0,120488.0,117826.24999999996,7803.0,0.1855588495745582
2019-01-01,638649.0,117144.0,122864.61666666661,19550.0,0.18342469807358971
2019-02-01,582966.0,132709.0,140352.94999999992,18352.0,0.2276444938469825
2019-03-01,689221.0,116948.0,119820.51666666662,13562.0,0.16968142293981175
2019-04-01,668259.0,117645.0,128481.29999999994,15726.0,0.17604701171252463
2019-05-01,694311.0,137175.0,143664.3166666666,14146.0,0.19756996504448296
2019-06-01,694469.0,167905.0,176556.2833333332,14667.0,0.241774650848346
2019-07-01,717684.0,148265.0,165731.76666666658,14808.0,0.20658813628282086
2019-08-01,717456.0,146186.0,157164.34999999992,12903.0,0.2037560491514462
2019-09-01,660712.0,92475.0,96016.48333333331,11045.0,0.13996264635726308
2019-10-01,692944.0,115688.0,113869.61666666661,6133.0,0.16695144196356415
2019-11-01,655072.0,95644.0,98324.8333333333,5561.0,0.14600532460553955
2019-12-01,679941.0,139671.0,145418.44999999992,7176.0,0.20541635230115554
